Date,Price,Open,High,Low,Change %
Dec-18,0.207,0.2039,0.2104,0.1999,1.47%
Nov-18,0.204,0.206,0.2092,0.2,-1.50%
Oct-18,0.2071,0.2081,0.2123,0.2008,-1.00%
Sep-18,0.2092,0.2077,0.2121,0.1998,-0.85%
Aug-18,0.211,0.211,0.213,0.2039,-0.09%
Jul-18,0.2112,0.2092,0.2124,0.2062,1.69%
Jun-18,0.2077,0.2115,0.2159,0.2062,-1.61%
May-18,0.2111,0.2222,0.2257,0.2111,-4.91%
Apr-18,0.222,0.2264,0.2273,0.2217,-1.68%
Mar-18,0.2258,0.2231,0.2275,0.2222,1.85%
Feb-18,0.2217,0.2197,0.228,0.2197,0.00%
Jan-18,0.2217,0.2203,0.2235,0.2184,0.96%
Dec-17,0.2196,0.2198,0.2269,0.2189,0.14%
Nov-17,0.2193,0.2279,0.2283,0.215,-2.75%
Oct-17,0.2255,0.2257,0.2295,0.2209,-0.27%
Sep-17,0.2261,0.2257,0.2305,0.2209,0.62%
Aug-17,0.2247,0.2264,0.2333,0.2234,-1.14%
Jul-17,0.2273,0.2264,0.2331,0.2242,0.49%
Jun-17,0.2262,0.2313,0.2353,0.2236,-2.14%
May-17,0.2312,0.241,0.243,0.2218,-2.49%
Apr-17,0.237,0.2299,0.2461,0.2275,2.75%
Mar-17,0.2307,0.213,0.2373,0.2079,8.67%
Feb-17,0.2123,0.2336,0.2348,0.2114,-7.09%
Jan-17,0.2285,0.2324,0.2421,0.2262,-1.04%
Dec-16,0.2309,0.2381,0.2533,0.2251,-1.22%
Nov-16,0.2338,0.2515,0.2664,0.2233,-6.72%
Oct-16,0.2506,0.2501,0.2594,0.2461,-0.12%
Sep-16,0.2509,0.253,0.2646,0.2464,-0.55%
Aug-16,0.2523,0.2522,0.2646,0.2483,-1.73%
Jul-16,0.2567,0.2531,0.2619,0.2495,1.93%
Jun-16,0.2519,0.2575,0.2641,0.2503,-3.00%
May-16,0.2597,0.2611,0.2664,0.2535,-1.10%
Apr-16,0.2626,0.2605,0.2664,0.251,1.12%
Mar-16,0.2597,0.2522,0.2671,0.2494,1.96%
Feb-16,0.2547,0.2522,0.2614,0.2451,1.11%
Jan-16,0.2519,0.2625,0.2664,0.2419,-3.78%
Dec-15,0.2618,0.2612,0.2706,0.2587,-1.23%
Nov-15,0.265,0.2628,0.2711,0.2555,-0.02%
Oct-15,0.2651,0.2636,0.278,0.2539,-0.08%
Sep-15,0.2653,0.2564,0.2766,0.2413,3.45%
Aug-15,0.2564,0.2618,0.2819,0.2279,-2.06%
Jul-15,0.2618,0.2305,0.3166,0.2273,14.75%
Jun-15,0.2282,0.2488,0.2501,0.2256,-6.90%
May-15,0.2451,0.2598,0.2639,0.241,-5.15%
Apr-15,0.2584,0.2611,0.2653,0.2581,-0.50%
Mar-15,0.2597,0.2857,0.288,0.2591,-8.85%
Feb-15,0.2849,0.3047,0.3082,0.2841,-5.13%
Jan-15,0.3003,0.3135,0.3178,0.2844,-4.42%
Dec-14,0.3142,0.3122,0.3178,0.3082,1.16%
Nov-14,0.3106,0.3106,0.3165,0.3079,0.32%
Oct-14,0.3096,0.304,0.3178,0.3022,2.48%
Sep-14,0.3021,0.26,0.3126,0.2578,14.78%
Aug-14,0.2632,0.2898,0.298,0.2556,-8.42%
Jul-14,0.2874,0.3026,0.3325,0.2692,-3.72%
Jun-14,0.2985,0.3338,0.3473,0.2941,-8.80%
May-14,0.3273,0.3528,0.3534,0.3252,-7.04%
Apr-14,0.3521,0.3677,0.3728,0.3516,-5.20%
Mar-14,0.3714,0.3922,0.3961,0.3704,-3.81%
Feb-14,0.3861,0.4202,0.4202,0.3873,-7.72%
Jan-14,0.4184,0.4311,0.4336,0.4049,-0.43%
Dec-13,0.4202,0.4415,0.4417,0.4229,-3.78%
Nov-13,0.4367,0.4525,0.4553,0.4358,-3.05%
Oct-13,0.4505,0.4588,0.4627,0.4505,-1.13%
Sep-13,0.4556,0.464,0.469,0.4565,-2.17%
Aug-13,0.4657,0.4808,0.4872,0.464,-2.43%
Jul-13,0.4773,0.4902,0.4979,0.4785,-2.87%
Jun-13,0.4914,0.5006,0.5034,0.4896,-1.72%
May-13,0.5,0.5064,0.5121,0.5,-1.15%
Apr-13,0.5058,0.5155,0.5188,0.5063,-1.88%
Mar-13,0.5155,0.5241,0.5266,0.5141,-1.02%
Feb-13,0.5208,0.5241,0.5301,0.5203,-0.74%
Jan-13,0.5247,0.5245,0.5315,0.5219,0.00%
Dec-12,0.5247,0.5252,0.5325,0.5242,0.02%
Nov-12,0.5246,0.5289,0.5347,0.5218,-0.70%
Oct-12,0.5283,0.5222,0.534,0.5197,0.34%
Sep-12,0.5265,0.5174,0.529,0.515,1.92%
Aug-12,0.5166,0.5117,0.5202,0.5099,1.16%
Jul-12,0.5107,0.5167,0.5171,0.5092,-0.66%
Jun-12,0.5141,0.5282,0.5306,0.5145,-2.04%
May-12,0.5248,0.5391,0.5411,0.5231,-2.47%
Apr-12,0.5381,0.5558,0.5644,0.5361,-4.22%
Mar-12,0.5618,0.5874,0.5883,0.5615,-4.21%
Feb-12,0.5865,0.5936,0.595,0.5821,-1.18%
Jan-12,0.5935,0.609,0.61,0.5708,-2.55%
Dec-11,0.609,0.5988,0.6146,0.6017,1.58%
Nov-11,0.5995,0.6254,0.6281,0.5997,-4.28%
Oct-11,0.6263,0.6296,0.6302,0.6088,0.58%
Sep-11,0.6227,0.6525,0.6554,0.6237,-4.61%
Aug-11,0.6528,0.6618,0.6636,0.6483,-1.08%
Jul-11,0.6599,0.6581,0.6653,0.6579,0.27%
Jun-11,0.6581,0.6627,0.6653,0.6586,-0.69%
May-11,0.6627,0.6616,0.666,0.6589,0.17%
Apr-11,0.6616,0.6564,0.6706,0.6551,0.00%
Mar-11,0.6616,0.6601,0.6622,0.6473,-0.47%
Feb-11,0.6647,0.639,0.6701,0.6339,4.02%
Jan-11,0.639,0.6718,0.6784,0.637,-4.83%
Dec-10,0.6714,0.6901,0.7014,0.6712,-2.71%
Nov-10,0.6901,0.6966,0.705,0.6868,-0.90%
Oct-10,0.6964,0.7035,0.7049,0.692,-0.76%
Sep-10,0.7017,0.6988,0.7046,0.6874,0.67%
Aug-10,0.697,0.6903,0.7028,0.6855,0.24%
Jul-10,0.6953,0.6926,0.7051,0.6848,0.30%
Jun-10,0.6932,0.6993,0.7034,0.6909,-0.87%
May-10,0.6993,0.7074,0.7074,0.6956,-1.19%
Apr-10,0.7077,0.7047,0.7082,0.6722,0.55%
Mar-10,0.7038,0.7006,0.8639,0.6904,0.46%
Feb-10,0.7006,0.697,0.7064,0.6901,0.27%
Jan-10,0.6987,0.6984,0.7075,0.6862,0.03%
Dec-09,0.6985,0.6863,0.7018,0.6863,-0.20%
Nov-09,0.6999,0.6958,0.7009,0.6777,0.14%
Oct-09,0.6989,0.6901,0.6992,0.6863,1.08%
Sep-09,0.6914,0.6837,0.6926,0.6818,1.04%
Aug-09,0.6843,0.6653,0.6861,0.6653,2.41%
Jul-09,0.6682,0.6678,0.7558,0.6568,-0.07%
Jun-09,0.6687,0.6781,0.7567,0.6687,-1.37%
May-09,0.678,0.7018,0.707,0.678,-1.42%
Apr-09,0.6878,0.7075,0.7075,0.6878,-2.88%
Mar-09,0.7082,0.7173,0.9824,0.7045,-1.38%
Feb-09,0.7181,0.7469,0.7552,0.7177,-3.75%
Jan-09,0.7461,0.7823,0.8169,0.7461,-5.04%
Dec-08,0.7857,0.8262,0.868,0.7857,-4.60%
Nov-08,0.8236,0.8539,0.8658,0.8228,-3.51%
Oct-08,0.8536,0.862,0.8654,0.8525,-1.03%
Sep-08,0.8625,0.8637,0.9201,0.8573,-0.23%
Aug-08,0.8645,0.8621,0.918,0.8264,-0.16%
Jul-08,0.8659,0.9091,0.9993,0.8264,-4.32%
Jun-08,0.905,0.9615,1.0041,0.9009,-8.04%
May-08,0.9841,1.0122,1.024,0.9506,-1.19%
Apr-08,0.996,1.0142,1.0419,0.9881,-1.62%
Mar-08,1.0124,1.0132,1.0295,1.0081,-1.93%
